ID,iptm,ptm,ranking_score,fraction_disordered
161_036,0.48,0.6,0.58,0.15
161_162,0.1,0.53,0.31,0.24
161_077,0.16,0.55,0.38,0.29
161_383,0.14,0.46,0.28,0.16
161_525,0.35,0.58,0.53,0.27
161_291,0.16,0.61,0.42,0.33
161_088,0.24,0.6,0.45,0.28
161_022,0.2,0.46,0.34,0.18
161_452,0.22,0.49,0.37,0.19
161_468,0.23,0.46,0.37,0.18
161_245,0.25,0.56,0.41,0.19
161_581,0.17,0.48,0.31,0.16
161_265,0.22,0.61,0.45,0.3
161_298,0.28,0.6,0.45,0.21
161_380,0.21,0.55,0.35,0.14
161_129,0.13,0.49,0.28,0.15
161_029,0.21,0.57,0.39,0.21
161_090,0.18,0.56,0.4,0.29
161_138,0.17,0.45,0.34,0.22
161_226,0.17,0.61,0.32,0.13
161_467,0.21,0.53,0.35,0.14
161_532,0.13,0.44,0.26,0.14
161_313,0.34,0.54,0.48,0.19
161_222,0.16,0.48,0.32,0.2
161_031,0.2,0.54,0.35,0.16
161_430,0.12,0.57,0.36,0.3
161_534,0.19,0.55,0.35,0.18
161_322,0.18,0.48,0.32,0.16
161_553,0.18,0.43,0.35,0.24
161_482,0.29,0.56,0.37,0.06
161_340,0.13,0.46,0.28,0.16
161_086,0.17,0.54,0.38,0.26
161_414,0.19,0.47,0.37,0.24
161_440,0.19,0.51,0.35,0.19
161_176,0.23,0.55,0.42,0.24
161_626,0.41,0.61,0.55,0.19
161_485,0.17,0.46,0.31,0.17
161_126,0.18,0.58,0.37,0.22
161_208,0.22,0.45,0.36,0.19
161_650,0.56,0.49,0.67,0.25
161_598,0.43,0.56,0.54,0.17
161_240,0.1,0.57,0.34,0.29
161_106,0.12,0.47,0.28,0.18
161_030,0.24,0.52,0.37,0.16
161_256,0.22,0.59,0.39,0.2
161_460,0.22,0.48,0.33,0.11
161_453,0.2,0.53,0.33,0.14
161_168,0.62,0.64,0.73,0.22
161_018,0.22,0.53,0.4,0.22
161_444,0.16,0.45,0.28,0.13
161_081,0.21,0.54,0.39,0.24
161_324,0.19,0.54,0.35,0.19
161_434,0.27,0.55,0.42,0.19
161_163,0.31,0.54,0.47,0.22
161_020,0.24,0.56,0.41,0.21
161_450,0.22,0.46,0.34,0.15
161_234,0.25,0.46,0.41,0.24
161_621,0.23,0.63,0.39,0.14
161_160,0.12,0.55,0.28,0.14
161_124,0.2,0.58,0.39,0.24
161_225,0.21,0.54,0.35,0.15
161_258,0.15,0.52,0.38,0.31
161_374,0.19,0.49,0.32,0.15
161_428,0.13,0.45,0.28,0.18
161_562,0.1,0.47,0.26,0.17
161_642,0.21,0.53,0.51,0.47
161_542,0.1,0.51,0.4,0.42
161_207,0.65,0.67,0.73,0.17
161_508,0.41,0.57,0.52,0.16
161_194,0.69,0.68,0.75,0.12
161_560,0.15,0.45,0.32,0.22
161_294,0.25,0.47,0.32,0.05
161_619,0.26,0.59,0.48,0.31
161_550,0.13,0.45,0.34,0.3
161_376,0.19,0.57,0.34,0.15
161_331,0.15,0.53,0.3,0.15
161_149,0.17,0.6,0.31,0.11
161_173,0.13,0.46,0.29,0.19
161_501,0.2,0.51,0.33,0.14
161_139,0.19,0.47,0.33,0.19
161_097,0.29,0.56,0.48,0.26
161_623,0.19,0.58,0.33,0.12
161_134,0.16,0.47,0.32,0.2
161_479,0.21,0.39,0.33,0.17
161_192,0.14,0.48,0.33,0.24
161_597,0.67,0.68,0.74,0.14
161_219,0.14,0.45,0.27,0.14
161_067,0.14,0.49,0.34,0.25
161_602,0.16,0.46,0.3,0.17
161_549,0.19,0.46,0.31,0.13
161_332,0.18,0.52,0.35,0.21
161_285,0.18,0.46,0.34,0.21
161_377,0.2,0.5,0.34,0.16
161_476,0.21,0.54,0.36,0.17
161_214,0.19,0.49,0.33,0.16
161_397,0.25,0.46,0.46,0.33
161_362,0.29,0.54,0.4,0.13
161_405,0.65,0.67,0.74,0.17
161_616,0.12,0.46,0.29,0.2
161_172,0.5,0.58,0.6,0.17
161_202,0.13,0.48,0.29,0.18
161_300,0.78,0.7,0.88,0.22
161_243,0.21,0.52,0.36,0.17
161_255,0.16,0.54,0.36,0.23
161_211,0.3,0.59,0.42,0.12
161_026,0.13,0.5,0.31,0.22
161_369,0.4,0.57,0.53,0.19
161_287,0.28,0.58,0.45,0.22
161_302,0.2,0.47,0.33,0.16
161_084,0.49,0.5,0.59,0.21
161_548,0.16,0.66,0.32,0.12
161_402,0.34,0.57,0.5,0.24
161_648,0.35,0.45,0.44,0.14
161_123,0.25,0.54,0.41,0.2
161_526,0.23,0.56,0.38,0.16
161_528,0.17,0.55,0.37,0.25
161_404,0.12,0.47,0.28,0.17
161_624,0.22,0.54,0.37,0.18
161_601,0.33,0.58,0.48,0.19
161_267,0.13,0.49,0.36,0.32
161_455,0.42,0.63,0.52,0.11
161_180,0.22,0.58,0.41,0.23
161_565,0.24,0.59,0.45,0.28
161_284,0.18,0.57,0.38,0.25
161_589,0.22,0.51,0.35,0.14
161_640,0.23,0.49,0.37,0.18
161_517,0.27,0.52,0.41,0.19
161_260,0.15,0.54,0.29,0.12
161_353,0.24,0.6,0.42,0.23
161_359,0.56,0.62,0.67,0.2
161_328,0.24,0.5,0.4,0.21
161_356,0.25,0.57,0.5,0.37
161_253,0.21,0.46,0.34,0.16
161_462,0.62,0.64,0.72,0.18
161_502,0.19,0.43,0.32,0.17
161_148,0.14,0.45,0.29,0.18
161_247,0.45,0.49,0.57,0.24
161_518,0.18,0.51,0.33,0.17
161_411,0.16,0.52,0.44,0.4
161_511,0.23,0.55,0.41,0.22
161_167,0.16,0.56,0.3,0.13
161_350,0.16,0.5,0.32,0.18
161_461,0.16,0.61,0.31,0.13
161_235,0.21,0.47,0.37,0.21
161_215,0.26,0.51,0.39,0.16
161_062,0.31,0.48,0.43,0.18
161_198,0.12,0.47,0.28,0.18
161_537,0.16,0.5,0.3,0.15
161_041,0.13,0.54,0.31,0.18
161_443,0.65,0.65,0.73,0.17
161_047,0.1,0.52,0.35,0.33
161_568,0.17,0.58,0.34,0.19
161_011,0.18,0.59,0.4,0.27
161_337,0.11,0.49,0.39,0.4
161_392,0.27,0.52,0.4,0.15
161_488,0.12,0.52,0.32,0.24
161_384,0.21,0.41,0.4,0.31
161_530,0.27,0.51,0.39,0.16
161_579,0.17,0.59,0.33,0.15
296_046,0.17,0.55,0.29,0.08
296_522,0.21,0.69,0.34,0.06
296_074,0.12,0.46,0.24,0.09
296_124,0.21,0.63,0.4,0.22
296_647,0.12,0.44,0.42,0.47
296_379,0.11,0.53,0.24,0.1
296_131,0.16,0.68,0.42,0.3
296_300,0.1,0.56,0.29,0.19
296_420,0.23,0.47,0.32,0.09
296_544,0.14,0.55,0.28,0.11
296_469,0.16,0.47,0.26,0.07
296_324,0.19,0.59,0.34,0.15
296_426,0.21,0.49,0.3,0.08
296_466,0.17,0.66,0.42,0.31
296_623,0.14,0.61,0.27,0.07
296_624,0.22,0.59,0.35,0.13
296_213,0.25,0.57,0.38,0.13
296_009,0.16,0.69,0.39,0.25
296_072,0.15,0.53,0.3,0.15
296_497,0.1,0.54,0.27,0.16
296_235,0.21,0.5,0.34,0.16
296_160,0.11,0.58,0.25,0.1
296_572,0.13,0.58,0.37,0.3
296_635,0.2,0.74,0.34,0.06
296_163,0.2,0.52,0.33,0.12
296_043,0.3,0.63,0.44,0.15
296_402,0.12,0.47,0.26,0.14
296_283,0.19,0.47,0.29,0.09
296_318,0.14,0.58,0.28,0.1
296_557,0.24,0.48,0.34,0.1
296_087,0.12,0.48,0.26,0.14
296_015,0.1,0.54,0.26,0.15
296_025,0.14,0.47,0.25,0.09
296_222,0.22,0.53,0.33,0.1
296_024,0.32,0.46,0.42,0.14
296_605,0.32,0.58,0.41,0.09
296_339,0.17,0.62,0.37,0.22
296_462,0.16,0.46,0.27,0.11
296_543,0.21,0.46,0.36,0.21
296_546,0.21,0.6,0.46,0.34
296_616,0.26,0.47,0.36,0.11
296_516,0.14,0.49,0.26,0.1
296_250,0.13,0.46,0.24,0.1
296_482,0.23,0.58,0.32,0.04
296_107,0.12,0.59,0.3,0.18
296_058,0.12,0.51,0.27,0.15
296_246,0.12,0.37,0.2,0.06
296_185,0.11,0.61,0.4,0.37
296_168,0.31,0.55,0.42,0.12
296_399,0.25,0.57,0.38,0.13
296_070,0.18,0.54,0.33,0.14
296_348,0.23,0.63,0.35,0.09
296_542,0.07,0.49,0.35,0.4
296_182,0.12,0.51,0.24,0.09
296_012,0.42,0.69,0.6,0.26
296_141,0.09,0.58,0.36,0.34
296_520,0.1,0.53,0.27,0.17
296_622,0.19,0.56,0.3,0.08
296_076,0.17,0.58,0.33,0.15
296_392,0.22,0.52,0.36,0.15
296_491,0.19,0.46,0.3,0.11
296_211,0.15,0.62,0.28,0.08
296_653,0.17,0.29,0.37,0.35
296_020,0.1,0.58,0.28,0.16
296_512,0.1,0.5,0.29,0.21
296_248,0.19,0.59,0.36,0.18
296_268,0.13,0.6,0.33,0.21
296_574,0.1,0.47,0.23,0.11
296_225,0.21,0.55,0.32,0.09
296_328,0.22,0.51,0.34,0.12
296_599,0.16,0.5,0.28,0.11
296_536,0.21,0.48,0.31,0.08
296_280,0.27,0.61,0.45,0.22
296_242,0.22,0.53,0.33,0.11
296_550,0.16,0.5,0.34,0.23
296_437,0.2,0.55,0.35,0.15
296_435,0.11,0.48,0.25,0.13
296_645,0.11,0.38,0.29,0.26
296_194,0.27,0.56,0.37,0.09
296_410,0.17,0.54,0.31,0.13
296_249,0.14,0.5,0.27,0.11
296_412,0.1,0.58,0.24,0.09
296_049,0.18,0.48,0.29,0.11
296_627,0.21,0.46,0.42,0.31
296_362,0.15,0.52,0.27,0.1
296_035,0.64,0.55,0.68,0.13
296_327,0.54,0.52,0.59,0.1
296_547,0.2,0.65,0.43,0.28
296_369,0.15,0.49,0.27,0.09
296_010,0.1,0.45,0.27,0.2
296_492,0.28,0.6,0.42,0.14
296_646,0.5,0.57,0.62,0.2
296_071,0.26,0.57,0.36,0.07
296_436,0.12,0.51,0.27,0.14
296_460,0.21,0.5,0.32,0.1
296_333,0.09,0.42,0.33,0.33
296_112,0.31,0.61,0.4,0.07
296_365,0.2,0.53,0.32,0.1
296_233,0.08,0.47,0.26,0.2
296_389,0.08,0.51,0.24,0.14
296_292,0.21,0.59,0.33,0.08
296_226,0.24,0.65,0.36,0.06
296_116,0.13,0.52,0.26,0.09
296_641,0.13,0.62,0.4,0.33
296_285,0.2,0.51,0.33,0.13
296_643,0.12,0.61,0.37,0.3
296_452,0.16,0.52,0.29,0.11
296_483,0.33,0.48,0.41,0.1
296_219,0.14,0.49,0.25,0.1
296_157,0.15,0.57,0.32,0.18
296_396,0.17,0.45,0.28,0.1
296_357,0.22,0.59,0.39,0.2
296_515,0.12,0.54,0.31,0.2
296_266,0.11,0.51,0.27,0.17
296_255,0.16,0.56,0.32,0.17
296_523,0.15,0.5,0.3,0.17
296_613,0.53,0.69,0.63,0.14
296_472,0.12,0.46,0.24,0.11
296_164,0.15,0.46,0.26,0.1
296_443,0.16,0.5,0.28,0.11
296_391,0.12,0.46,0.25,0.11
296_081,0.28,0.55,0.43,0.19
296_366,0.16,0.46,0.27,0.11
296_337,0.1,0.53,0.3,0.24
296_606,0.13,0.58,0.34,0.24
296_549,0.23,0.52,0.34,0.1
296_614,0.16,0.56,0.36,0.24
296_053,0.23,0.65,0.44,0.27
296_086,0.08,0.56,0.26,0.17
296_564,0.17,0.49,0.29,0.12
296_284,0.13,0.58,0.3,0.16
296_092,0.21,0.6,0.34,0.1
296_095,0.37,0.47,0.5,0.23
296_061,0.12,0.52,0.26,0.14
296_145,0.25,0.49,0.35,0.1
296_073,0.14,0.47,0.26,0.11
296_629,0.09,0.63,0.35,0.32
296_265,0.17,0.67,0.41,0.28
296_442,0.21,0.54,0.32,0.08
296_099,0.1,0.51,0.25,0.12
296_553,0.1,0.43,0.27,0.21
296_432,0.27,0.56,0.37,0.1
296_212,0.19,0.58,0.3,0.07
296_538,0.15,0.6,0.27,0.07
296_422,0.28,0.55,0.39,0.12
296_021,0.4,0.54,0.49,0.12
296_461,0.17,0.66,0.3,0.08
296_521,0.09,0.42,0.22,0.12
296_247,0.39,0.56,0.51,0.18
296_579,0.23,0.64,0.36,0.09
296_535,0.13,0.45,0.27,0.15
296_503,0.16,0.55,0.32,0.16
296_556,0.32,0.71,0.52,0.24
296_123,0.17,0.53,0.31,0.13
296_011,0.43,0.7,0.59,0.21
296_257,0.09,0.52,0.25,0.15
296_142,0.19,0.5,0.3,0.09
296_376,0.15,0.59,0.28,0.08
296_380,0.62,0.63,0.66,0.07
296_014,0.09,0.54,0.27,0.19
296_126,0.19,0.61,0.35,0.14
296_626,0.08,0.52,0.25,0.16
296_573,0.43,0.53,0.49,0.09
296_561,0.1,0.45,0.22,0.11
296_371,0.15,0.56,0.31,0.15
296_037,0.26,0.71,0.47,0.25
296_506,0.16,0.49,0.29,0.12
296_619,0.09,0.59,0.33,0.27
296_170,0.12,0.59,0.33,0.22
296_451,0.14,0.48,0.25,0.08
296_508,0.14,0.51,0.26,0.09
296_563,0.14,0.56,0.33,0.21
296_346,0.15,0.57,0.4,0.34
296_475,0.24,0.6,0.35,0.08
296_169,0.16,0.57,0.32,0.16
296_236,0.18,0.54,0.3,0.09
296_026,0.1,0.5,0.26,0.14
296_251,0.52,0.58,0.62,0.18
296_501,0.16,0.57,0.29,0.1
296_411,0.12,0.54,0.4,0.39
296_062,0.27,0.52,0.38,0.11
296_444,0.19,0.45,0.29,0.11
296_088,0.28,0.61,0.47,0.24
296_147,0.13,0.61,0.27,0.07
296_577,0.26,0.6,0.5,0.34
296_630,0.14,0.55,0.27,0.1
296_323,0.15,0.49,0.27,0.11
296_541,0.1,0.56,0.29,0.2
296_355,0.09,0.53,0.25,0.14
296_179,0.11,0.44,0.23,0.11
296_195,0.17,0.56,0.29,0.08
296_458,0.12,0.47,0.24,0.11
296_100,0.35,0.5,0.42,0.1
296_403,0.13,0.49,0.25,0.1
296_167,0.1,0.58,0.25,0.1
296_152,0.53,0.5,0.58,0.11
296_438,0.18,0.65,0.31,0.08
296_490,0.17,0.53,0.31,0.15
296_361,0.17,0.56,0.28,0.08
296_174,0.22,0.58,0.37,0.16
296_023,0.14,0.46,0.38,0.35
296_473,0.27,0.54,0.41,0.16
296_499,0.15,0.55,0.27,0.09
296_239,0.22,0.54,0.32,0.07
296_287,0.16,0.61,0.35,0.2
296_138,0.16,0.48,0.3,0.15
296_269,0.19,0.54,0.41,0.31
296_518,0.17,0.54,0.29,0.09
296_119,0.13,0.55,0.31,0.2
296_165,0.1,0.4,0.29,0.27
296_064,0.15,0.5,0.27,0.11
296_459,0.12,0.49,0.25,0.11
296_639,0.23,0.5,0.34,0.1
296_069,0.15,0.47,0.27,0.11
296_309,0.19,0.54,0.31,0.09
296_598,0.12,0.5,0.28,0.16
296_190,0.13,0.48,0.27,0.14
296_571,0.15,0.49,0.27,0.1
296_359,0.25,0.55,0.37,0.12
296_457,0.17,0.51,0.31,0.15
296_529,0.2,0.53,0.32,0.1
296_367,0.29,0.54,0.42,0.14
296_200,0.22,0.61,0.38,0.16
296_106,0.54,0.67,0.62,0.11
296_033,0.19,0.52,0.33,0.15
296_358,0.31,0.54,0.41,0.11
296_456,0.08,0.41,0.23,0.16
296_578,0.1,0.47,0.23,0.12
296_345,0.24,0.65,0.46,0.28
296_652,0.14,0.42,0.44,0.49
296_604,0.13,0.54,0.4,0.37
296_224,0.23,0.49,0.46,0.35
296_230,0.18,0.5,0.3,0.11
296_440,0.16,0.52,0.3,0.14
296_151,0.23,0.6,0.35,0.08
296_634,0.37,0.69,0.55,0.22
296_560,0.14,0.45,0.28,0.15
296_364,0.18,0.54,0.3,0.11
296_632,0.1,0.54,0.26,0.14
296_372,0.09,0.46,0.23,0.14
296_302,0.32,0.56,0.42,0.11
296_122,0.12,0.53,0.25,0.1
296_338,0.11,0.45,0.26,0.17
296_186,0.1,0.56,0.32,0.25
296_325,0.28,0.61,0.39,0.1
296_334,0.13,0.53,0.27,0.12
296_272,0.19,0.68,0.43,0.3
296_329,0.1,0.51,0.25,0.13
296_215,0.13,0.49,0.26,0.12
296_548,0.12,0.67,0.27,0.08
296_470,0.15,0.51,0.26,0.08
296_149,0.17,0.63,0.29,0.06
296_191,0.19,0.63,0.45,0.35
296_022,0.19,0.46,0.31,0.13
296_644,0.14,0.3,0.28,0.21
296_534,0.3,0.59,0.41,0.11
296_031,0.12,0.54,0.25,0.1
296_528,0.09,0.59,0.27,0.17
296_082,0.1,0.44,0.33,0.33
296_636,0.14,0.49,0.32,0.23
296_434,0.21,0.55,0.33,0.11
296_565,0.19,0.59,0.35,0.17
296_183,0.09,0.51,0.28,0.2
296_370,0.09,0.41,0.22,0.13
296_094,0.17,0.5,0.28,0.09
296_478,0.25,0.55,0.36,0.09
296_267,0.15,0.5,0.35,0.25
296_120,0.14,0.49,0.26,0.1
296_008,0.2,0.49,0.33,0.13
296_341,0.23,0.6,0.34,0.08
296_017,0.28,0.55,0.42,0.17
296_633,0.15,0.64,0.36,0.22
296_601,0.11,0.57,0.28,0.15
296_276,0.23,0.61,0.42,0.23
296_648,0.15,0.39,0.25,0.12
296_114,0.15,0.56,0.27,0.07
296_576,0.47,0.52,0.54,0.11
296_291,0.15,0.67,0.42,0.32
296_281,0.18,0.47,0.3,0.12
296_204,0.25,0.6,0.36,0.08
296_040,0.12,0.43,0.25,0.12
296_570,0.13,0.55,0.29,0.14
296_228,0.13,0.57,0.31,0.18
296_278,0.09,0.49,0.26,0.18
296_316,0.11,0.44,0.35,0.35
296_297,0.2,0.67,0.33,0.06
296_406,0.15,0.62,0.28,0.08
296_188,0.2,0.57,0.34,0.14
296_254,0.11,0.49,0.25,0.14
296_401,0.13,0.54,0.26,0.09
296_344,0.18,0.66,0.41,0.26
296_321,0.17,0.51,0.3,0.13
296_208,0.14,0.48,0.26,0.12
296_590,0.28,0.68,0.48,0.25
296_340,0.15,0.51,0.28,0.11
296_158,0.2,0.59,0.32,0.08
296_303,0.11,0.48,0.25,0.12
296_310,0.16,0.37,0.39,0.38
296_156,0.2,0.54,0.31,0.08
296_540,0.12,0.63,0.38,0.32
296_305,0.12,0.52,0.28,0.17
296_551,0.14,0.6,0.32,0.17
296_356,0.09,0.6,0.37,0.36
296_286,0.23,0.55,0.35,0.12
296_028,0.19,0.55,0.35,0.18
296_471,0.12,0.51,0.27,0.15
296_181,0.12,0.62,0.26,0.09
296_102,0.12,0.55,0.3,0.19
296_416,0.17,0.41,0.27,0.09
296_395,0.14,0.5,0.28,0.14
296_263,0.36,0.55,0.47,0.15
296_198,0.08,0.48,0.22,0.12
296_063,0.15,0.5,0.3,0.17
296_450,0.43,0.51,0.49,0.09
296_510,0.08,0.58,0.27,0.17
296_347,0.17,0.47,0.28,0.11
296_054,0.14,0.47,0.29,0.17
296_484,0.24,0.54,0.33,0.07
296_640,0.19,0.51,0.3,0.1
296_405,0.29,0.54,0.39,0.11
296_245,0.19,0.57,0.33,0.12
296_296,0.19,0.67,0.42,0.28
296_201,0.12,0.62,0.26,0.08
296_628,0.31,0.71,0.43,0.08
296_125,0.2,0.53,0.36,0.18
296_596,0.18,0.46,0.29,0.11
296_118,0.16,0.54,0.31,0.15
296_455,0.12,0.57,0.24,0.07
296_207,0.17,0.49,0.28,0.1
296_489,0.27,0.53,0.36,0.08
296_383,0.13,0.49,0.26,0.11
296_144,0.16,0.5,0.28,0.09
296_220,0.16,0.59,0.29,0.08
296_463,0.14,0.55,0.26,0.09
296_567,0.21,0.69,0.46,0.31
296_373,0.24,0.52,0.35,0.1
296_388,0.19,0.63,0.39,0.22
296_097,0.08,0.46,0.26,0.21
296_240,0.16,0.64,0.37,0.24
296_004,0.23,0.55,0.41,0.22
296_197,0.14,0.52,0.25,0.08
296_496,0.47,0.68,0.59,0.15
296_133,0.18,0.5,0.29,0.1
296_562,0.17,0.49,0.29,0.11
296_555,0.42,0.53,0.51,0.14
296_651,0.14,0.33,0.4,0.43
296_306,0.12,0.53,0.27,0.14
296_331,0.2,0.61,0.33,0.09
296_127,0.62,0.7,0.72,0.16
296_386,0.2,0.51,0.31,0.1
296_166,0.34,0.49,0.42,0.1
296_620,0.1,0.54,0.27,0.17
296_098,0.16,0.43,0.29,0.16
296_495,0.14,0.49,0.25,0.08
296_178,0.1,0.58,0.28,0.16
296_638,0.2,0.57,0.32,0.09
296_349,0.14,0.49,0.27,0.13
296_467,0.17,0.56,0.28,0.07
296_531,0.23,0.7,0.35,0.05
296_216,0.13,0.5,0.25,0.1
296_019,0.21,0.62,0.4,0.21
296_607,0.23,0.62,0.35,0.09
296_277,0.18,0.45,0.32,0.16
296_418,0.13,0.47,0.24,0.08
296_322,0.12,0.48,0.24,0.11
296_433,0.24,0.49,0.36,0.13
296_488,0.1,0.52,0.27,0.16
296_253,0.1,0.43,0.24,0.15
296_315,0.16,0.49,0.28,0.11
296_258,0.07,0.53,0.3,0.27
296_513,0.19,0.68,0.43,0.28
296_193,0.19,0.57,0.32,0.12
296_519,0.09,0.58,0.27,0.16
296_575,0.34,0.59,0.44,0.11
296_527,0.14,0.48,0.26,0.1
296_057,0.16,0.66,0.43,0.34
296_612,0.56,0.69,0.64,0.11
296_180,0.36,0.61,0.46,0.11
296_067,0.15,0.5,0.3,0.16
296_308,0.11,0.51,0.25,0.12
296_446,0.12,0.55,0.28,0.14
296_293,0.16,0.57,0.28,0.08
296_505,0.23,0.55,0.34,0.09
296_227,0.21,0.58,0.36,0.16
296_481,0.22,0.5,0.32,0.1
296_398,0.17,0.56,0.29,0.08
296_583,0.19,0.49,0.3,0.11
296_274,0.25,0.48,0.35,0.1
296_260,0.18,0.56,0.3,0.08
296_637,0.43,0.58,0.52,0.12
296_378,0.11,0.48,0.24,0.11
296_368,0.15,0.47,0.27,0.11
296_103,0.18,0.49,0.3,0.11
296_136,0.1,0.55,0.27,0.17
296_421,0.14,0.46,0.25,0.1
296_079,0.19,0.54,0.3,0.09
296_486,0.26,0.57,0.34,0.03
296_493,0.34,0.64,0.45,0.11
296_498,0.26,0.49,0.36,0.11
296_454,0.19,0.49,0.33,0.15
296_115,0.21,0.61,0.37,0.17
296_044,0.1,0.58,0.29,0.19
296_585,0.08,0.6,0.36,0.35
296_363,0.2,0.64,0.33,0.09
296_602,0.6,0.66,0.68,0.13
296_143,0.12,0.48,0.25,0.11
296_018,0.22,0.54,0.36,0.15
296_290,0.15,0.53,0.27,0.09
296_589,0.38,0.54,0.46,0.09
296_289,0.14,0.51,0.33,0.23
296_584,0.14,0.49,0.25,0.09
296_384,0.15,0.42,0.33,0.25
296_382,0.27,0.5,0.39,0.15
296_030,0.12,0.48,0.25,0.12
296_608,0.21,0.48,0.31,0.1
296_132,0.14,0.48,0.26,0.11
296_109,0.09,0.64,0.36,0.33
296_587,0.13,0.47,0.28,0.16
296_210,0.15,0.47,0.28,0.13
296_243,0.13,0.52,0.25,0.09
296_394,0.11,0.43,0.27,0.19
296_311,0.2,0.49,0.33,0.14
296_524,0.12,0.52,0.36,0.32
296_271,0.22,0.57,0.34,0.12
296_068,0.09,0.51,0.26,0.16
296_514,0.1,0.57,0.24,0.1
296_453,0.18,0.56,0.3,0.1
296_408,0.19,0.47,0.29,0.08
296_552,0.12,0.55,0.33,0.24
296_588,0.1,0.54,0.26,0.15
296_093,0.28,0.59,0.51,0.33
296_134,0.27,0.51,0.38,0.13
296_507,0.11,0.47,0.23,0.11
296_500,0.18,0.55,0.3,0.09
296_332,0.09,0.48,0.24,0.16
296_089,0.24,0.6,0.42,0.21
296_449,0.11,0.45,0.24,0.11
296_196,0.16,0.57,0.29,0.09
296_273,0.08,0.53,0.35,0.36
296_642,0.13,0.54,0.41,0.4
296_431,0.13,0.51,0.25,0.09
296_294,0.17,0.46,0.27,0.1
296_618,0.12,0.59,0.39,0.36
296_128,0.16,0.45,0.27,0.1
296_154,0.26,0.63,0.43,0.2
296_052,0.16,0.48,0.28,0.11
296_304,0.22,0.44,0.37,0.22
296_176,0.08,0.53,0.24,0.14
296_003,0.11,0.49,0.24,0.11
296_238,0.26,0.68,0.38,0.08
296_139,0.14,0.5,0.26,0.1
296_485,0.11,0.47,0.24,0.11
296_083,0.23,0.62,0.46,0.3
296_237,0.12,0.48,0.24,0.11
296_390,0.11,0.43,0.37,0.39
296_317,0.1,0.54,0.24,0.11
296_047,0.16,0.53,0.37,0.27
296_525,0.15,0.61,0.38,0.27
296_187,0.14,0.68,0.28,0.07
296_117,0.16,0.5,0.28,0.11
296_307,0.17,0.53,0.28,0.07
296_447,0.18,0.46,0.3,0.11
296_121,0.23,0.49,0.34,0.12
296_051,0.3,0.47,0.38,0.1
296_631,0.18,0.35,0.27,0.1
296_533,0.15,0.6,0.28,0.08
296_554,0.16,0.5,0.29,0.13
296_241,0.19,0.53,0.33,0.14
296_566,0.12,0.56,0.25,0.1
296_013,0.15,0.48,0.29,0.15
296_319,0.14,0.5,0.25,0.07
296_502,0.1,0.4,0.2,0.09
296_530,0.29,0.51,0.38,0.09
296_161,0.07,0.54,0.4,0.46
296_189,0.14,0.53,0.29,0.14
296_288,0.28,0.65,0.39,0.08
296_104,0.11,0.49,0.24,0.1
296_055,0.42,0.6,0.54,0.18
296_045,0.1,0.54,0.36,0.34
296_080,0.12,0.56,0.27,0.14
296_244,0.14,0.51,0.26,0.09
296_559,0.14,0.51,0.26,0.09
296_381,0.1,0.47,0.24,0.13
296_256,0.19,0.54,0.34,0.16
296_105,0.11,0.47,0.24,0.11
296_610,0.15,0.48,0.28,0.13
296_091,0.51,0.61,0.6,0.14
296_275,0.16,0.47,0.27,0.11
296_360,0.2,0.53,0.31,0.09
296_581,0.13,0.49,0.25,0.11
296_065,0.15,0.59,0.32,0.16
296_448,0.31,0.59,0.41,0.08
296_423,0.1,0.5,0.25,0.15
296_036,0.12,0.54,0.27,0.13
296_335,0.13,0.41,0.36,0.36
296_479,0.28,0.46,0.35,0.08
296_162,0.1,0.57,0.29,0.18
296_090,0.25,0.59,0.42,0.2
296_150,0.29,0.52,0.38,0.09
296_148,0.14,0.47,0.26,0.11
296_042,0.16,0.51,0.29,0.13
296_202,0.19,0.55,0.31,0.1
296_377,0.22,0.53,0.33,0.1
296_192,0.11,0.49,0.27,0.17
296_617,0.26,0.58,0.47,0.31
296_330,0.11,0.58,0.25,0.09
296_077,0.1,0.43,0.27,0.2
296_537,0.16,0.54,0.29,0.1
296_429,0.1,0.45,0.23,0.11
296_476,0.21,0.57,0.34,0.13
296_066,0.12,0.55,0.3,0.18
296_299,0.2,0.47,0.31,0.12
296_600,0.12,0.47,0.24,0.11
296_234,0.2,0.47,0.33,0.15
296_650,0.36,0.55,0.5,0.21
296_056,0.13,0.55,0.28,0.14
296_153,0.5,0.66,0.59,0.12
296_298,0.16,0.63,0.35,0.19
296_140,0.1,0.39,0.25,0.18
296_404,0.23,0.53,0.34,0.09
296_464,0.28,0.5,0.38,0.13
296_425,0.11,0.47,0.24,0.11
296_175,0.14,0.47,0.28,0.15
296_001,0.53,0.69,0.61,0.09
296_609,0.33,0.54,0.43,0.12
296_231,0.11,0.46,0.24,0.11
296_430,0.09,0.59,0.3,0.22
296_209,0.08,0.55,0.25,0.15
296_129,0.1,0.53,0.24,0.1
296_110,0.27,0.64,0.42,0.16
296_205,0.1,0.48,0.23,0.11
296_342,0.15,0.45,0.26,0.1
296_480,0.23,0.63,0.34,0.06
296_221,0.22,0.48,0.34,0.13
296_039,0.08,0.45,0.3,0.31
296_504,0.27,0.49,0.37,0.12
296_111,0.12,0.5,0.29,0.18
296_387,0.17,0.51,0.29,0.11
296_487,0.08,0.5,0.35,0.37
